4061,1,1
1,4061,1
4598,1,1
1,4598,1
5420,1,1
1,5420,1
5434,1,1
1,5434,1
3820,1,1
1,3820,1
5446,2,1
2,5446,1
5419,2,1
2,5419,1
4475,2,1
2,4475,1
5105,2,1
2,5105,1
3788,2,1
2,3788,1
4348,3,1
3,4348,1
5336,3,1
3,5336,1
5089,3,1
3,5089,1
5423,3,1
3,5423,1
4816,3,1
3,4816,1
3576,4,1
4,3576,1
5203,4,1
4,5203,1
5372,4,1
4,5372,1
4862,4,1
4,4862,1
5020,4,1
4,5020,1
4991,5,1
5,4991,1
4289,5,1
5,4289,1
4815,5,1
5,4815,1
3847,5,1
5,3847,1
4917,5,1
5,4917,1
3568,6,1
6,3568,1
4058,6,1
6,4058,1
3597,6,1
6,3597,1
3699,6,1
6,3699,1
5151,6,1
6,5151,1
4894,7,1
7,4894,1
4139,7,1
7,4139,1
5405,7,1
7,5405,1
3573,7,1
7,3573,1
4382,7,1
7,4382,1
4268,8,1
8,4268,1
5036,8,1
8,5036,1
5095,8,1
8,5095,1
3878,8,1
8,3878,1
4484,8,1
8,4484,1
4396,9,1
9,4396,1
4797,9,1
9,4797,1
4923,9,1
9,4923,1
5014,9,1
9,5014,1
4057,9,1
9,4057,1
4864,10,1
10,4864,1
4815,10,1
10,4815,1
3830,10,1
10,3830,1
3742,10,1
10,3742,1
4501,10,1
10,4501,1
5424,11,1
11,5424,1
4185,11,1
11,4185,1
4675,11,1
11,4675,1
3952,11,1
11,3952,1
5007,11,1
11,5007,1
4015,12,1
12,4015,1
4516,12,1
12,4516,1
4903,12,1
12,4903,1
5286,12,1
12,5286,1
5423,12,1
12,5423,1
4599,13,1
13,4599,1
3782,13,1
13,3782,1
3803,13,1
13,3803,1
4020,13,1
13,4020,1
5186,13,1
13,5186,1
4013,14,1
14,4013,1
5133,14,1
14,5133,1
3992,14,1
14,3992,1
5363,14,1
14,5363,1
4204,14,1
14,4204,1
3898,15,1
15,3898,1
4007,15,1
15,4007,1
4737,15,1
15,4737,1
4451,15,1
15,4451,1
4208,15,1
15,4208,1
5166,16,1
16,5166,1
4675,16,1
16,4675,1
4604,16,1
16,4604,1
5339,16,1
16,5339,1
4076,16,1
16,4076,1
5019,17,1
17,5019,1
5012,17,1
17,5012,1
4265,17,1
17,4265,1
4640,17,1
17,4640,1
3656,17,1
17,3656,1
3612,18,1
18,3612,1
4566,18,1
18,4566,1
5063,18,1
18,5063,1
5373,18,1
18,5373,1
3764,18,1
18,3764,1
4642,19,1
19,4642,1
4443,19,1
19,4443,1
3528,19,1
19,3528,1
4179,19,1
19,4179,1
3829,19,1
19,3829,1
5093,20,1
20,5093,1
4127,20,1
20,4127,1
4562,20,1
20,4562,1
3836,20,1
20,3836,1
4708,20,1
20,4708,1
4030,21,1
21,4030,1
4813,21,1
21,4813,1
4883,21,1
21,4883,1
5001,21,1
21,5001,1
4406,21,1
21,4406,1
3672,22,1
22,3672,1
3962,22,1
22,3962,1
5331,22,1
22,5331,1
3809,22,1
22,3809,1
5156,22,1
22,5156,1
4581,23,1
23,4581,1
5497,23,1
23,5497,1
3661,23,1
23,3661,1
4390,23,1
23,4390,1
3718,23,1
23,3718,1
5428,24,1
24,5428,1
3514,24,1
24,3514,1
5054,24,1
24,5054,1
5139,24,1
24,5139,1
5242,24,1
24,5242,1
3673,25,1
25,3673,1
4304,25,1
25,4304,1
4024,25,1
25,4024,1
5105,25,1
25,5105,1
4367,25,1
25,4367,1
5326,26,1
26,5326,1
3868,26,1
26,3868,1
4032,26,1
26,4032,1
3796,26,1
26,3796,1
3777,26,1
26,3777,1
5243,27,1
27,5243,1
4664,27,1
27,4664,1
4604,27,1
27,4604,1
3794,27,1
27,3794,1
5211,27,1
27,5211,1
4749,28,1
28,4749,1
4206,28,1
28,4206,1
4531,28,1
28,4531,1
4308,28,1
28,4308,1
3656,28,1
28,3656,1
3984,29,1
29,3984,1
3751,29,1
29,3751,1
3872,29,1
29,3872,1
3984,29,1
29,3984,1
4339,29,1
29,4339,1
3604,30,1
30,3604,1
5310,30,1
30,5310,1
5394,30,1
30,5394,1
4486,30,1
30,4486,1
4483,30,1
30,4483,1
4180,31,1
31,4180,1
5305,31,1
31,5305,1
4243,31,1
31,4243,1
3727,31,1
31,3727,1
5065,31,1
31,5065,1
4284,32,1
32,4284,1
3988,32,1
32,3988,1
4312,32,1
32,4312,1
3697,32,1
32,3697,1
3768,32,1
32,3768,1
5389,33,1
33,5389,1
5417,33,1
33,5417,1
4655,33,1
33,4655,1
3624,33,1
33,3624,1
3974,33,1
33,3974,1
4211,34,1
34,4211,1
5147,34,1
34,5147,1
3535,34,1
34,3535,1
3591,34,1
34,3591,1
3842,34,1
34,3842,1
4803,35,1
35,4803,1
4968,35,1
35,4968,1
4800,35,1
35,4800,1
4406,35,1
35,4406,1
4599,35,1
35,4599,1
4097,36,1
36,4097,1
4994,36,1
36,4994,1
3882,36,1
36,3882,1
4878,36,1
36,4878,1
3872,36,1
36,3872,1
4241,37,1
37,4241,1
4756,37,1
37,4756,1
5065,37,1
37,5065,1
3667,37,1
37,3667,1
5363,37,1
37,5363,1
5056,38,1
38,5056,1
4478,38,1
38,4478,1
4376,38,1
38,4376,1
4398,38,1
38,4398,1
